City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"IITH Kandi, Hyderabad, India",58,58,56,16.2,3.1,4.3,4.2,17.585705,78.126199,2024-04-30 14:00:00
"Bardowali, Agartala, India",128,128,86,10.5,2.4,12.7,2.9,23.8175497,91.2726974,2024-04-30 18:00:00
"Sanjay Palace, Agra, India",25,13,25,8.4,8.4,N/A,N/A,27.19865833,78.00598056,2024-04-30 18:00:00
"Rajendra Nagar, Bareilly, India",65,52,65,3.8,0.9,18.5,0.5,28.38910936,79.42963708,2024-04-30 18:00:00
"Yamunapuram, Bulandshahr, India",112,91,112,45,10.8,7.7,5,28.406963,77.849831,2024-04-30 18:00:00
"Sanjay Nagar, Ghaziabad, India",110,78,110,67.3,9.9,5.3,6.7,28.685382,77.453839,2024-04-30 18:00:00
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",125,125,110,27.4,4.1,15.4,1.8,26.730136,83.433859,2024-04-30 18:00:00
"Shivaji Nagar, Jhansi, India",68,68,32,16.5,1.8,6,1.1,25.4547,78.6039,2024-04-30 18:00:00
"FTI Kidwai Nagar, Kanpur, India",114,114,94,4.7,6.5,10.3,5.1,26.428282,80.327067,2024-04-30 18:00:00
"B R Ambedkar University, Lucknow, India",100,100,98,31.9,4,14.1,3.8,26.766433,80.927299,2024-04-30 18:00:00
"Omex Eternity, Vrindavan, India",51,51,48,12.4,0.8,17.2,3.9,27.571409,77.655757,2024-04-30 18:00:00
"Pallavpuram Phase 2, Meerut, India",110,70,110,30.7,11.5,9.8,3.7,29.06351,77.709723,2024-04-30 18:00:00
"Jigar Colony, Moradabad, India",86,77,86,28.5,6.6,3.7,5.4,28.856664,78.772638,2024-04-30 18:00:00
"New Mandi, Muzaffarnagar, India",134,112,134,38.2,6.6,5.7,5.4,29.4723508,77.7194031,2024-04-30 18:00:00
"Maldahiya, Varanasi, India",72,72,41,9.3,0.7,10.9,0.1,25.32393,82.99687,2024-04-30 18:00:00
"Doon University, Dehradun, India",109,106,109,53.6,0.5,1.3,2.8,30.269444,78.044167,2024-04-30 18:00:00
"Flag Pole, Woodstock School, Mussoorie, India, India",-,N/A,N/A,N/A,N/A,N/A,N/A,30.455449,78.100618,
"Asansol Court Area, Asansol, India",173,173,92,18.3,13,2.4,5.7,23.685297,86.945968,2024-04-30 18:00:00
"Ghusuri, Howrah, India",173,173,140,9.1,6,2,5.7,22.611968,88.347422,2024-04-30 18:00:00
"Rabindra Bharati University, Kolkata, India",83,83,78,25,12.8,4.2,6.8,22.627847,88.380669,2024-04-30 18:00:00
"Bidhannagar, Kolkata, India",159,159,83,31,8.7,5.4,7,22.58157048,88.41002457,2024-04-30 18:00:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",158,158,80,34,6.5,4.9,4.7,23.5404352,87.2892225,2024-04-30 18:00:00
"Victoria, Kolkata, India",153,153,84,26.2,8.1,12.8,11.1,22.5448082,88.3403691,2024-04-30 18:00:00
"Rabindra Bharati University, Kolkata, India",83,83,78,25,12.8,4.2,6.8,22.627847,88.380669,2024-04-30 18:00:00
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",161,161,N/A,N/A,N/A,N/A,N/A,22.5626297,88.36303711,2024-04-30 18:00:00
"Rabindra Bharati University, Kolkata, India",83,83,78,25,12.8,4.2,6.8,22.627847,88.380669,2024-04-30 18:00:00
"Ward-32 Bapupara, Siliguri, India",92,92,74,21.5,17,2.9,6.6,26.6883049,88.412668,2024-04-30 18:00:00
